"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","1989",7.2767701,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","1991",9.1192455,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","1993",11.169909,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","1994",10.249908,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","1995",8.653492,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","1997",9.6139898,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","1998",8.9745283,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","1999",8.3886023,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2000",7.5124063,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2001",7.5600157,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2002",7.4533758,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2003",7.0367374,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2004",6.1844072,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2005",6.3390169,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2006",5.6127467,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2007",5.0674524,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2008",5.5025954,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2009",6.6492376,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2010",6.2158856,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2011",5.8801355,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2012",6.2285686,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2013",7.1432238,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2014",7.849329,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",7.9609022,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",7.5025826,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",7.0790563,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",7.0461249,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",5.9390721,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2020",7.5836778,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2021",7.3308239,
"AUS","UNEMPEDU","TRY","PC_25_64","A","1989",4.271594,
"AUS","UNEMPEDU","TRY","PC_25_64","A","1991",5.7265849,
"AUS","UNEMPEDU","TRY","PC_25_64","A","1993",4.9884,
"AUS","UNEMPEDU","TRY","PC_25_64","A","1994",4.486897,
"AUS","UNEMPEDU","TRY","PC_25_64","A","1995",4.0389814,
"AUS","UNEMPEDU","TRY","PC_25_64","A","1997",3.4798427,
"AUS","UNEMPEDU","TRY","PC_25_64","A","1998",3.3267961,
"AUS","UNEMPEDU","TRY","PC_25_64","A","1999",3.3647201,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2000",3.5561228,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2001",3.0854053,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2002",3.2745397,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2003",3.0089626,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2004",2.8495743,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2005",2.5065093,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2006",2.2869582,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2007",2.1958504,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2008",2.1807134,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2009",3.2650449,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2010",2.7803946,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2011",2.7735689,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2012",2.8470342,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2013",2.9102168,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2014",3.1697605,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2015",3.5553486,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2016",3.2340076,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2017",3.3636401,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2018",3.29336,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2019",2.8989403,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2020",4.5658488,
"AUS","UNEMPEDU","TRY","PC_25_64","A","2021",3.0177693,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1989",4.1990852,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1991",6.0441666,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1993",8.8691216,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1994",6.9327826,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1995",6.1848083,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1997",6.0914612,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1998",5.8170285,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1999",5.1213517,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2000",4.5066118,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2001",4.6871276,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2002",4.276772,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2003",4.3078299,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2004",3.9110436,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2005",3.387609,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2006",3.7665594,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2007",3.0132058,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2008",2.6721954,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2009",4.1330328,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2010",3.551446,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2011",3.7893238,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2012",3.7303267,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2013",4.644711,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2014",4.5710268,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2015",4.6575494,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2016",4.4636726,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",4.1310658,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",4.4228549,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",4.0721803,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",5.9837556,
"AUS","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",4.6439443,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2004",7.4307728,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2005",8.5497122,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2006",8.6668043,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2007",7.9990644,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2008",6.7932315,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2009",9.2964573,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2010",8.1066341,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2011",7.7396588,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2012",8.6938677,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2013",9.5067225,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2014",10.755466,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",10.624196,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",11.717247,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",12.477829,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",10.870542,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",10.013733,
